"Sr. No.","TIN","GSTIN/PID","Firm Name","Address","Assessment Circle","Tax Type","Return Form Type","RC Effective Date","Status","Cancellation Date","Type Of Dealer"
"1742","33336386642","33BDWPJ1411J1ZK","GLOBAL LEATHER LINKS","No.50,Bazaar Street,Ranipet,Tamil Nadu,Vellore,632401","RANIPET (Circle)","Central Sales Tax","CST FORM NO.1","06/06/2016","Active","-","Normal Dealer"
"1743","33336386642","33BDWPJ1411J1ZK","GLOBAL LEATHER LINKS","No.50,Bazaar Street,Ranipet,Tamil Nadu,Vellore,632401","RANIPET (Circle)","Value Added Tax","VAT FORM I","06/06/2016","Active","-","Normal Dealer"
"1744","33436482759","33AACCG2071J1ZV","GLOBAL LEATHER PRIVATE LIMITED","8a,Cenotaph Road, 1st Lane, Teynampet,Chennai,Tamil Nadu,600018","ALWARPET (Circle)","Central Sales Tax","CST FORM NO.1","12/04/2017","Active","-","Normal Dealer"
"1745","33436482759","33AACCG2071J1ZV","GLOBAL LEATHER PRIVATE LIMITED","8a,Cenotaph Road, 1st Lane, Teynampet,Chennai,Tamil Nadu,600018","ALWARPET (Circle)","Value Added Tax","VAT FORM I","25/03/2017","Active","-","Normal Dealer"
"1746","33514362677","33AJVPR1329R1ZC","GLOBAL LEATHEREX","3/A,Na,Rasheethpet 2nd Street,,Walajah Taluk,Tamil Nadu,Vellore,632509","RANIPET SIPCOT (Circle)","Central Sales Tax","CST FORM NO.1","18/01/2007","Active","-","Normal Dealer"
"1747","33514362677","33AJVPR1329R1ZC","GLOBAL LEATHEREX","3/A,Na,Rasheethpet 2nd Street,,Walajah Taluk,Tamil Nadu,Vellore,632509","RANIPET SIPCOT (Circle)","Value Added Tax","VAT FORM I","18/01/2007","Active","-","Normal Dealer"
"1748","33020521989","33AAAFG2255M1ZJ","GLOBAL LEATHERS","39 Ist Floor,Na,Perianna Maistry Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","18/08/2007","Active","-","Normal Dealer"
"1749","33020521989","33AAAFG2255M1ZJ","GLOBAL LEATHERS","39 Ist Floor,Na,Perianna Maistry Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1750","33274264451","33BDWPS1753C1ZD","GLOBAL LEATHERS","6,Na,Eidgah Road,Amburambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","11/11/2011","Active","-","Normal Dealer"
"1751","33274264451","33BDWPS1753C1ZD","GLOBAL LEATHERS","6,Na,Eidgah Road,Amburambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","01/11/2011","Active","-","Normal Dealer"
"1752","33706351218","33FXZPS4709B1Z1","GLOBAL LEATHERS PROP.SHAIK DILDAR AHMED","360,Sivaraj Nagar,Pernambutgudiyatham Taluk,Tamil Nadu,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","26/11/2015","Active","-","Normal Dealer"
"1753","33706351218","33FXZPS4709B1Z1","GLOBAL LEATHERS PROP.SHAIK DILDAR AHMED","360,Sivaraj Nagar,Pernambutgudiyatham Taluk,Tamil Nadu,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","26/11/2015","Active","-","Normal Dealer"
"1754","33136338679","33AAGCG0566J2ZM","GLOBAL THERMAL CONTROL SYSTEMS PRIVATE LIMITED","Old No. 9 New No.5,Krishna Bhai Street, T Nagar,Chennai,Tamil Nadu,600017","KOTTURPURAM (Circle)","Central Sales Tax","CST FORM NO.1","01/09/2015","Active","-","Normal Dealer"
"1755","33136338679","33AAGCG0566J2ZM","GLOBAL THERMAL CONTROL SYSTEMS PRIVATE LIMITED","Old No. 9 New No.5,Krishna Bhai Street, T Nagar,Chennai,Tamil Nadu,600017","KOTTURPURAM (Circle)","Value Added Tax","VAT FORM I","01/09/2015","Active","-","Normal Dealer"
"1756","33246451350","33AHIPK0704E1ZZ","GLORY LEATHERS","13/35,Anthonyammal Street,Arcot,Tamil Nadu,Vellore,632503","ARCOT (Circle)","Value Added Tax","VAT FORM I","25/01/2017","Active","-","Normal Dealer"
"1757","33520423550","33BLIPG8854Q1ZD","GNG LEATHERS","No:31/3,Na,Karpura Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","16/12/2013","Active","-","Normal Dealer"
"1758","33520423550","33BLIPG8854Q1ZD","GNG LEATHERS","No:31/3,Na,Karpura Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","09/12/2013","Active","-","Normal Dealer"
"1759","33190882202","33AAFPB8597G1ZM","GOKUL RAAM LEATHERS","214,Nagappa Nagar,Chennai,Tamil Nadu,Kancheepuram,600044","PALLAVARAM (Circle)","Central Sales Tax","CST FORM NO.1","10/11/2003","Active","-","Normal Dealer"
"1760","33190882202","33AAFPB8597G1ZM","GOKUL RAAM LEATHERS","214,Nagappa Nagar,Chennai,Tamil Nadu,Kancheepuram,600044","PALLAVARAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1761","33473075800","33ALCPS2570A1ZK","GOKULA LEATHERS","27,Na,Bhavani Main Road,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","11/01/2007","Active","-","Normal Dealer"
"1762","33473075800","33ALCPS2570A1ZK","GOKULA LEATHERS","27,Na,Bhavani Main Road,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1763","33560525184","33AMLPB7637B1ZE","GOLD LEATHER EXPORTS","No.10/8a,Na,M.V.Badran Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","10/07/2013","Active","-","Normal Dealer"
"1764","33560525184","33AMLPB7637B1ZE","GOLD LEATHER EXPORTS","No.10/8a,Na,M.V.Badran Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","10/07/2013","Active","-","Normal Dealer"
"1765","33304620473","33AAAFG0436C1Z9","GOLDEN LEATHER","No,4/137a,Na,Selam Main Road,Thiruppattur Tk,Tamil Nadu,Vellore,635602","THIRUPPATTUR (Circle)","Central Sales Tax","CST FORM NO.1","01/01/1982","Active","-","Normal Dealer"
"1766","33304620473","33AAAFG0436C1Z9","GOLDEN LEATHER","No,4/137a,Na,Selam Main Road,Thiruppattur Tk,Tamil Nadu,Vellore,635602","THIRUPPATTUR (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1767","33314265108","33ALRPT6183H1ZH","GOLDEN LEATHER COMPANY","33/34,Na,Vanakar Kollai 2nd Street,,Ambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","23/01/2014","Active","-","Normal Dealer"
"1768","33314265108","33ALRPT6183H1ZH","GOLDEN LEATHER COMPANY","33/34,Na,Vanakar Kollai 2nd Street,,Ambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","23/01/2014","Active","-","Normal Dealer"
"1769","33634342144","33AIXPA1519R1ZT","GOLDEN LEATHER COMPANY","3,Hazerat Zakir Nagar,V.Kota Road,Pernambutpernambut,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","25/04/2007","Active","-","Normal Dealer"
"1770","33634342144","33AIXPA1519R1ZT","GOLDEN LEATHER COMPANY","3,Hazerat Zakir Nagar,V.Kota Road,Pernambutpernambut,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1771","33466367811","33AAPFG2045Q1Z0","GOLDEN LEATHER TEX","8/5,1 Floor,Macfare Lane,Periamet,Tamil Nadu,Chennai,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","04/03/2016","Active","-","Normal Dealer"
"1772","33466367811","33AAPFG2045Q1Z0","GOLDEN LEATHER TEX","8/5,1 Floor,Macfare Lane,Periamet,Tamil Nadu,Chennai,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","04/03/2016","Active","-","Normal Dealer"
"1773","33034264195","33AINPR7459R1Z3","GOLDEN LEATHERS","72,Na,1st Floor,L.R.K.Complex,,Ambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","15/12/2010","Active","-","Normal Dealer"
"1774","33034264195","33AINPR7459R1Z3","GOLDEN LEATHERS","72,Na,1st Floor,L.R.K.Complex,,Ambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","13/12/2010","Active","-","Normal Dealer"
"1775","33243064529","33AKGPA7774F1ZA","GOLDEN LEATHERS","117,Na,Thendral Nagar,Sathy Main Road Erode,Tamil Nadu,638004","CHITHODE (Circle)","Central Sales Tax","CST FORM NO.1","31/10/2008","Active","-","Normal Dealer"
"1776","33243064529","33AKGPA7774F1ZA","GOLDEN LEATHERS","117,Na,Thendral Nagar,Sathy Main Road Erode,Tamil Nadu,638004","CHITHODE (Circle)","Value Added Tax","VAT FORM I","30/10/2008","Active","-","Normal Dealer"
"1777","33815241235","33AJMPK5549D1Z7","GOLDEN LEATHERS","36/23,Golden Complex,,Batlagundu Road,Begambur,Dindigul,Tamil Nadu,624002","DINDIGUL(TOWN) (Circle)","Central Sales Tax","CST FORM NO.1","23/04/2001","Active","-","Normal Dealer"
"1778","33815241235","33AJMPK5549D1Z7","GOLDEN LEATHERS","36/23,Golden Complex,,Batlagundu Road,Begambur,Dindigul,Tamil Nadu,624002","DINDIGUL(TOWN) (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1779","33503075541","33BDOPS1514B1ZW","GOLDS LEATHER COMPANY C\O.A.O.K TENNERY","00,Na,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","02/05/1989","Active","-","Normal Dealer"
"1780","33503075541","33BDOPS1514B1ZW","GOLDS LEATHER COMPANY C\O.A.O.K TENNERY","00,Na,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1781","33696347101","33AAOFG8325Q1ZQ","GOODWILL LEATHER EXPORTS","1515/1520,1520/B,Na,Vaniyambadivaniyambadi,Tamil Nadu,635751","VANIYAMBADI (Circle)","Central Sales Tax","CST FORM NO.1","15/10/2015","Active","-","Normal Dealer"
"1782","33696347101","33AAOFG8325Q1ZQ","GOODWILL LEATHER EXPORTS","1515/1520,1520/B,Na,Vaniyambadivaniyambadi,Tamil Nadu,635751","VANIYAMBADI (Circle)","Value Added Tax","VAT FORM I","15/10/2015","Active","-","Normal Dealer"
"1783","33763063079","33AGQPD0100Q1ZL","GOODWILL LEATHERS","Na,Na,Saro Mani Tannery,Chithode,Tamil Nadu,Erode,638102","CHITHODE (Circle)","Central Sales Tax","CST FORM NO.1","07/01/2007","Active","-","Normal Dealer"
"1784","33763063079","33AGQPD0100Q1ZL","GOODWILL LEATHERS","Na,Na,Saro Mani Tannery,Chithode,Tamil Nadu,Erode,638102","CHITHODE (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1785","33606405530","33AAPFG8770N1ZM","GOODWIN LEATHER EXPORTS","68/38,Wuthucattan Street Periamet,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","08/08/2016","Active","-","Normal Dealer"
"1786","33606405530","33AAPFG8770N1ZM","GOODWIN LEATHER EXPORTS","68/38,Wuthucattan Street Periamet,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","08/08/2016","Active","-","Normal Dealer"
"1787","33586417075","33AGIPR0975R1ZM","GOODWIN LEATHERS","15,Ramalinga Jothi Nagar - Ist Street,Ramanathapuram,Tamil Nadu,Coimbatore,641045","TRICHY ROAD (Circle)","Central Sales Tax","CST FORM NO.1","27/09/2016","Active","-","Normal Dealer"
"1788","33586417075","33AGIPR0975R1ZM","GOODWIN LEATHERS","15,Ramalinga Jothi Nagar - Ist Street,Ramanathapuram,Tamil Nadu,Coimbatore,641045","TRICHY ROAD (Circle)","Value Added Tax","VAT FORM I","27/09/2016","Active","-","Normal Dealer"
"1789","33146355406","33BALPJ2334N1ZL","GOPAL ELECTRICALS PROP.G.JOTHEESWARAN","502,Na,Mettupalayam Village Jaffarabad Postvaniyambaditk,Tamil Nadu,635754","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","10/12/2015","Active","-","Normal Dealer"
"1790","33146355406","33BALPJ2334N1ZL","GOPAL ELECTRICALS PROP.G.JOTHEESWARAN","502,Na,Mettupalayam Village Jaffarabad Postvaniyambaditk,Tamil Nadu,635754","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","10/12/2015","Active","-","Normal Dealer"
"1791","33894262170","33AOUPS9987C1Z1","GOPI LEATHER CO","0,Na,M.C.Road Vadugathipatti Village Post,Vadugathipatti,Tamil Nadu,Vellore,635804","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","29/04/2002","Active","-","Normal Dealer"
"1792","33894262170","33AOUPS9987C1Z1","GOPI LEATHER CO","0,Na,M.C.Road Vadugathipatti Village Post,Vadugathipatti,Tamil Nadu,Vellore,635804","AMBUR (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1793","33551122370","33AACCG6068M1ZC","GORANTLA GEOSYNTHETICS PVT LTD","No. 3 I Floor,Na,Saraswathi Street,Nungambakkamchennai,Tamil Nadu,600034","VALLUVARKOTTAM (Circle)","Central Sales Tax","CST FORM NO.1","18/09/2006","Active","-","Normal Dealer"
"1794","33551122370","33AACCG6068M1ZC","GORANTLA GEOSYNTHETICS PVT LTD","No. 3 I Floor,Na,Saraswathi Street,Nungambakkamchennai,Tamil Nadu,600034","VALLUVARKOTTAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1795","33364342341","33AJZPJ4992L1Z9","GOVINDH LEATHER TRADERS PROPIETOR G JAYAKANTHAN","660,Na,High Road,Pernambut,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","03/01/2007","Active","-","Normal Dealer"
"1796","33364342341","33AJZPJ4992L1Z9","GOVINDH LEATHER TRADERS PROPIETOR G JAYAKANTHAN","660,Na,High Road,Pernambut,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1797","33896003805","33BGEPK8294B1ZH","GR BROTHERS COLOUR PRINTING PRESS","5/311,Na,Samipuram Colony,Sivakasisivakasi,Tamil Nadu,Virudhunagar,626189","SATTUR - 2 (Circle)","Central Sales Tax","CST FORM NO.1","14/02/2014","Active","-","Normal Dealer"
"1798","33896003805","33BGEPK8294B1ZH","GR BROTHERS COLOUR PRINTING PRESS","5/311,Na,Samipuram Colony,Sivakasisivakasi,Tamil Nadu,Virudhunagar,626189","SATTUR - 2 (Circle)","Value Added Tax","VAT FORM I","10/02/2014","Active","-","Normal Dealer"
"1799","33246307821","33AJUPR8538B1ZT","GRAPHICO LEATHERS","1,Na,Anna Salai,Chrompetchennai,Tamil Nadu,Kancheepuram,600044","PAMMAL (Circle)","Central Sales Tax","CST FORM NO.1","01/05/2015","Active","-","Normal Dealer"
"1800","33246307821","33AJUPR8538B1ZT","GRAPHICO LEATHERS","1,Na,Anna Salai,Chrompetchennai,Tamil Nadu,Kancheepuram,600044","PAMMAL (Circle)","Value Added Tax","VAT FORM I","01/05/2015","Active","-","Normal Dealer"
"1801","33196375501","33ARMPT9222C1ZQ","GRAVITY LEATHERS","44,Kattur Sadayapan Street Periamet,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","21/04/2016","Active","-","Normal Dealer"
"1802","33196375501","33ARMPT9222C1ZQ","GRAVITY LEATHERS","44,Kattur Sadayapan Street Periamet,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","21/04/2016","Active","-","Normal Dealer"
"1803","33453075326","33ADPPJ4292F1ZG","GREAT INDIA LEATHER COMPANY","23,Na,Bp Agraharamerode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","29/09/1990","Active","-","Normal Dealer"
"1804","33453075326","33ADPPJ4292F1ZG","GREAT INDIA LEATHER COMPANY","23,Na,Bp Agraharamerode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1805","33054343336","33AYBPA5477G1ZP","GREEN LEATHER","1,Na,Navali Street,Pernambutgudiyatham Taluk,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","25/12/2011","Active","-","Normal Dealer"
"1806","33054343336","33AYBPA5477G1ZP","GREEN LEATHER","1,Na,Navali Street,Pernambutgudiyatham Taluk,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","25/12/2011","Active","-","Normal Dealer"
"1807","33500881110","33AMLPS1917P1ZH","GREEN AERO LEATHER","32,Na,Kadaperi,Chennai,Tamil Nadu,Kancheepuram,600045","TAMBARAM (Circle)","Central Sales Tax","CST FORM NO.1","01/02/2007","Active","-","Normal Dealer"
"1808","33500881110","33AMLPS1917P1ZH","GREEN AERO LEATHER","32,Na,Kadaperi,Chennai,Tamil Nadu,Kancheepuram,600045","TAMBARAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1809","33516377506","33AAPFG3074K1Z5","GREEN LEATHER EXPORTS","1140,P.J.Nehru Road , Cuthchery Road,,Vaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Central Sales Tax","CST FORM NO.1","18/04/2016","Active","-","Normal Dealer"
"1810","33516377506","33AAPFG3074K1Z5","GREEN LEATHER EXPORTS","1140,P.J.Nehru Road , Cuthchery Road,,Vaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Value Added Tax","VAT FORM I","13/04/2016","Active","-","Normal Dealer"
"1811","33050524252","33AAIFG9914F1ZE","GREEN LEATHERS","17/U,Ii Floor,Veerasamy Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","22/08/2008","Active","-","Normal Dealer"
"1812","33050524252","33AAIFG9914F1ZE","GREEN LEATHERS","17/U,Ii Floor,Veerasamy Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","22/08/2008","Active","-","Normal Dealer"
"1813","33284363628","33AAIFG8854A1ZJ","GROUP LEATHERS","3/352,Na,Sipcot Raniper,Tamil Nadu,632403","RANIPET SIPCOT (Circle)","Central Sales Tax","CST FORM NO.1","22/12/2015","Active","-","Normal Dealer"
"1814","33284363628","33AAIFG8854A1ZJ","GROUP LEATHERS","3/352,Na,Sipcot Raniper,Tamil Nadu,632403","RANIPET SIPCOT (Circle)","Value Added Tax","VAT FORM I","25/01/2010","Active","-","Normal Dealer"
"1815","33726259833","33DBKPS3668J1Z2","GS LEATHERS","403,Na,.Anna Salai,Melvisharammelvisharam Town Panchayat,Tamil Nadu,Vellore,632509","RANIPET SIPCOT (Circle)","Central Sales Tax","CST FORM NO.1","02/10/2014","Active","-","Normal Dealer"
"1816","33726259833","33DBKPS3668J1Z2","GS LEATHERS","403,Na,.Anna Salai,Melvisharammelvisharam Town Panchayat,Tamil Nadu,Vellore,632509","RANIPET SIPCOT (Circle)","Value Added Tax","VAT FORM I","02/10/2014","Active","-","Normal Dealer"
"1817","33746465171","33BWBPG2474A1Z7","GS LEATHERS","13/13,Dr.Ambedkar Nagar, Nagalkeni, Chrompet,,Chennai,Tamil Nadu,Kancheepuram,600044","PALLAVARAM (Circle)","Central Sales Tax","CST FORM NO.1","01/03/2017","Active","-","Normal Dealer"
"1818","33746465171","33BWBPG2474A1Z7","GS LEATHERS","13/13,Dr.Ambedkar Nagar, Nagalkeni, Chrompet,,Chennai,Tamil Nadu,Kancheepuram,600044","PALLAVARAM (Circle)","Value Added Tax","VAT FORM I","01/03/2017","Active","-","Normal Dealer"
"1819","33346417099","33AOAPJ8726L1ZS","GUHA LEATHER LAND","47,Thiruneermalai Main Road,Nagelkeni Chrompet,Tamil Nadu,Kancheepuram,600075","PALLAVARAM (Circle)","Central Sales Tax","CST FORM NO.1","28/09/2016","Active","-","Normal Dealer"
"1820","33346417099","33AOAPJ8726L1ZS","GUHA LEATHER LAND","47,Thiruneermalai Main Road,Nagelkeni Chrompet,Tamil Nadu,Kancheepuram,600075","PALLAVARAM (Circle)","Value Added Tax","VAT FORM I","28/09/2016","Active","-","Normal Dealer"
"1821","33700422287","33AAHPA8866H1ZN","GULNAZ LEATHER UPPERS","10,Na,Kumarappa Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","20/05/2004","Active","-","Normal Dealer"
"1822","33700422287","33AAHPA8866H1ZN","GULNAZ LEATHER UPPERS","10,Na,Kumarappa Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1823","33674342413","33AXLPA4880A1ZW","GULZAR LEATHER MERCHANT","70/72,Na,Lal Mosque Street,Gudiyattam,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","23/01/2007","Active","-","Normal Dealer"
"1824","33674342413","33AXLPA4880A1ZW","GULZAR LEATHER MERCHANT","70/72,Na,Lal Mosque Street,Gudiyattam,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","23/01/2007","Active","-","Normal Dealer"
"1825","33900902715","33AAJPJ3555E1ZY","GURU BROTHERS","D3,Na,Industrial Estate, Guindy,Chennai,Tamil Nadu,600032","EKKATUTHANGAL (Circle)","Central Sales Tax","CST FORM NO.1","02/01/2007","Active","-","Normal Dealer"
"1826","33900902715","33AAJPJ3555E1ZY","GURU BROTHERS","D3,Na,Industrial Estate, Guindy,Chennai,Tamil Nadu,600032","EKKATUTHANGAL (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1827","33855961341","33ASQPR8221C1ZP","GURUNATHAN LATHE WORKS","59/3,Na,Sukkiravarpatti,Thiruthangalsivakasi,Tamil Nadu,Virudhunagar,626123","SIVAKASI - I (Circle)","Central Sales Tax","CST FORM NO.1","24/01/2007","Active","-","Normal Dealer"
"1828","33855961341","33ASQPR8221C1ZP","GURUNATHAN LATHE WORKS","59/3,Na,Sukkiravarpatti,Thiruthangalsivakasi,Tamil Nadu,Virudhunagar,626123","SIVAKASI - I (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1829","33740781359","33ABEPL9224A1Z5","G. A. KAMAL BROTHERS","38/33,Na,Puram Prakasham Road Balaji Nagar,Royapettahchennai,Tamil Nadu,600014","ROYAPETTAH (Circle)","Central Sales Tax","CST FORM NO.1","30/08/2001","Active","-","Normal Dealer"
"1830","33740781359","33ABEPL9224A1Z5","G. A. KAMAL BROTHERS","38/33,Na,Puram Prakasham Road Balaji Nagar,Royapettahchennai,Tamil Nadu,600014","ROYAPETTAH (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1831","33953076603","33AACFE1122F1ZA","G. MOHAMED THAJ MOHYIDEEN S/O. ABDUL GHANI M/S.EKM LEATHER PROCESSING COMPANY","3,Na,Tennery Street,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","15/06/2006","Active","-","Normal Dealer"
"1832","33953076603","33AACFE1122F1ZA","G. MOHAMED THAJ MOHYIDEEN S/O. ABDUL GHANI M/S.EKM LEATHER PROCESSING COMPANY","3,Na,Tennery Street,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1833","33793077370","33ADGPN1632C1Z5","G.A.G. LEATHER INDUSTRIES","9,.,Sathy-Bhavani Joint Road,Bpagraharamerode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","20/03/2014","Active","-","Normal Dealer"
"1834","33793077370","33ADGPN1632C1Z5","G.A.G. LEATHER INDUSTRIES","9,.,Sathy-Bhavani Joint Road,Bpagraharamerode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","20/03/2014","Active","-","Normal Dealer"
"1835","33773076508","33AORPM4613E1Z1","G.H.S.LEATHERS C\O. A.M.SADIQ TANNERY","Na,Na,Maravapalayam,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","11/04/2005","Active","-","Normal Dealer"
"1836","33773076508","33AORPM4613E1Z1","G.H.S.LEATHERS C\O. A.M.SADIQ TANNERY","Na,Na,Maravapalayam,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1837","33704643145","33BLRPK3377D1ZZ","G.K. HARINI LEATHERS","1209/Ab,Na,New Street, P.J.N. Road,Vaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Central Sales Tax","CST FORM NO.1","30/07/2009","Active","-","Normal Dealer"
"1838","33704643145","33BLRPK3377D1ZZ","G.K. HARINI LEATHERS","1209/Ab,Na,New Street, P.J.N. Road,Vaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Value Added Tax","VAT FORM I","29/07/2009","Active","-","Normal Dealer"
"1839","33200421398","33ABMPG2213J1Z0","G.K. LEATHER CORPORATION","11/3,Na,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","01/07/1996","Active","-","Normal Dealer"
"1840","33200421398","33ABMPG2213J1Z0","G.K. LEATHER CORPORATION","11/3,Na,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1841","33733077403","33ATXPC8573G1Z8","G.K. LEATHERS","18/66,Vaitheki Complex,Gandhi Nagar,Veerappan Chattram Post,Tamil Nadu,Erode,638004","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","16/07/2014","Active","-","Normal Dealer"
"1842","33733077403","33ATXPC8573G1Z8","G.K. LEATHERS","18/66,Vaitheki Complex,Gandhi Nagar,Veerappan Chattram Post,Tamil Nadu,Erode,638004","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","07/07/2014","Active","-","Normal Dealer"
"1843","33290520822","33AADPG0484F1Z7","G.K.LEATHERS","28/82,Na,Wuthucattan Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","18/08/2007","Active","-","Normal Dealer"
"1844","33290520822","33AADPG0484F1Z7","G.K.LEATHERS","28/82,Na,Wuthucattan Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
